"geoname","statepostal","fips","seriesid","purpose","year","quarter","value"
"Denton County","TX","48121","P25","Refinance",2020,3,287000
"Denton County","TX","48121","P25","Refinance",2014,4,193000
"Denton County","TX","48121","P25","Both",2014,4,197000
"Denton County","TX","48121","P25","Purchase",2015,5,215000
"Denton County","TX","48121","P25","Refinance",2015,5,204000
"Denton County","TX","48121","P25","Both",2015,5,210000
"Denton County","TX","48121","P25","Purchase",2015,1,208000
"Denton County","TX","48121","P25","Refinance",2015,1,204000
"Denton County","TX","48121","P25","Both",2015,1,205000
"Denton County","TX","48121","P25","Purchase",2015,2,214000
"Denton County","TX","48121","P25","Refinance",2015,2,196500
"Denton County","TX","48121","P25","Both",2015,2,207000
"Denton County","TX","48121","P25","Purchase",2015,3,211000
"Denton County","TX","48121","P25","Refinance",2015,3,205000
"Denton County","TX","48121","P25","Both",2015,3,210000
"Denton County","TX","48121","P25","Purchase",2015,4,227000
"Denton County","TX","48121","P25","Refinance",2015,4,210000
"Denton County","TX","48121","P25","Both",2015,4,220000
"Denton County","TX","48121","P25","Purchase",2016,5,235000
"Denton County","TX","48121","P25","Refinance",2016,5,230000
"Denton County","TX","48121","P25","Both",2016,5,233000
"Denton County","TX","48121","P25","Purchase",2016,1,227000
"Denton County","TX","48121","P25","Refinance",2016,1,215000
"Denton County","TX","48121","P25","Both",2016,1,222000
"Denton County","TX","48121","P25","Purchase",2016,2,235000
"Denton County","TX","48121","P25","Refinance",2016,2,225000
"Denton County","TX","48121","P25","Both",2016,2,230000
"Denton County","TX","48121","P25","Purchase",2016,3,235000
"Denton County","TX","48121","P25","Refinance",2016,3,240000
"Denton County","TX","48121","P25","Both",2016,3,238000
"Denton County","TX","48121","P25","Purchase",2016,4,245000
"Denton County","TX","48121","P25","Refinance",2016,4,233000
"Denton County","TX","48121","P25","Both",2016,4,240000
"Denton County","TX","48121","P25","Purchase",2017,5,256000
"Denton County","TX","48121","P25","Refinance",2017,5,230000
"Denton County","TX","48121","P25","Both",2017,5,246000
"Denton County","TX","48121","P25","Purchase",2017,1,253000
"Denton County","TX","48121","P25","Refinance",2017,1,220000
"Denton County","TX","48121","P25","Both",2017,1,240000
"Denton County","TX","48121","P25","Purchase",2017,2,256800
"Denton County","TX","48121","P25","Refinance",2017,2,227500
"Denton County","TX","48121","P25","Both",2017,2,245900
"Denton County","TX","48121","P25","Purchase",2017,3,254000
"Denton County","TX","48121","P25","Refinance",2017,3,237800
"Denton County","TX","48121","P25","Both",2017,3,248000
"Denton County","TX","48121","P25","Both",2020,3,285000
"Denton County","TX","48121","P25","Purchase",2020,4,287000
"Denton County","TX","48121","P25","Refinance",2020,4,294000
"Denton County","TX","48121","P25","Both",2020,4,290000
"Denton County","TX","48121","P25","Purchase",2021,5,327000
"Denton County","TX","48121","P25","Refinance",2021,5,325000
"Denton County","TX","48121","P25","Both",2021,5,325000
"Denton County","TX","48121","P25","Purchase",2021,1,300000
"Denton County","TX","48121","P25","Refinance",2021,1,296000
"Denton County","TX","48121","P25","Both",2021,1,298000
"Denton County","TX","48121","P25","Purchase",2021,2,325000
"Denton County","TX","48121","P25","Refinance",2021,2,309000
"Denton County","TX","48121","P25","Both",2021,2,318000
